2023-05-18 18:15:05,333 | DEBUG:Sincronizando tiempo con servidor 192.168.1.183:3312... | MainThread | <module> | 53|
2023-05-18 18:15:05,333 | DEBUG:Conectando con 192.168.1.183:3312... | MainThread | <module> | 55|
2023-05-18 18:15:05,333 | DEBUG:Conectando con 192.168.1.183:3312... | MainThread | sync_time | 31|
2023-05-18 18:15:05,340 | DEBUG:Tiempo del servidor: 1684455305339.7756 | MainThread | sync_time | 35|
2023-05-18 18:15:05,340 | DEBUG:Obteniendo tiempo actual... | MainThread | get_time | 25|
2023-05-18 18:15:05,341 | DEBUG:Latencia: 0.4825439453125 | MainThread | sync_time | 39|
2023-05-18 18:15:05,341 | DEBUG:Obteniendo tiempo actual... | MainThread | get_time | 25|
2023-05-18 18:15:05,341 | DEBUG:Tiempo actual: 1684455305341.255 | MainThread | sync_time | 42|
2023-05-18 18:15:05,341 | DEBUG:Tiempo sincronizado del servidor 192.168.1.183:3312: 1684455305341.255 | MainThread | <module> | 57|
2023-05-18 18:15:05,341 | DEBUG:Tiempo sincronizado del servidor 192.168.1.183:3312: 2023-05-18 18:15:05 | MainThread | <module> | 59|
2023-05-18 18:15:05,341 | DEBUG:Sincronizando tiempo con servidor 192.168.1.183:3313... | MainThread | <module> | 53|
2023-05-18 18:15:05,341 | DEBUG:Conectando con 192.168.1.183:3313... | MainThread | <module> | 55|
2023-05-18 18:15:05,341 | DEBUG:Conectando con 192.168.1.183:3313... | MainThread | sync_time | 31|
2023-05-18 18:15:05,343 | DEBUG:Tiempo del servidor: 1684455305343.7344 | MainThread | sync_time | 35|
2023-05-18 18:15:05,343 | DEBUG:Obteniendo tiempo actual... | MainThread | get_time | 25|
2023-05-18 18:15:05,343 | DEBUG:Latencia: 0.0 | MainThread | sync_time | 39|
2023-05-18 18:15:05,343 | DEBUG:Obteniendo tiempo actual... | MainThread | get_time | 25|
2023-05-18 18:15:05,343 | DEBUG:Tiempo actual: 1684455305343.7344 | MainThread | sync_time | 42|
2023-05-18 18:15:05,343 | DEBUG:Tiempo sincronizado del servidor 192.168.1.183:3313: 1684455305343.7344 | MainThread | <module> | 57|
2023-05-18 18:15:05,343 | DEBUG:Tiempo sincronizado del servidor 192.168.1.183:3313: 2023-05-18 18:15:05 | MainThread | <module> | 59|
2023-05-18 18:15:05,344 | DEBUG:Sincronizando tiempo con servidor 192.168.1.183:3314... | MainThread | <module> | 53|
